eps1,eps2,i,j,freq_MHz,strength,a_J,a_F1,a_F,a_ef,a_mF,a_parity,b_J,b_F1,b_F,b_ef,b_mF,b_parity
sigma+,sigma-,106,20,-174633.521310,1.347225e-08,5,5,4.5,f,-4.5,+1,2,2,2.5,e,-2.5,+1
sigma+,sigma-,107,21,-174633.505953,7.453703e-09,5,5,4.5,f,-3.5,+1,2,2,2.5,e,-1.5,+1
sigma+,sigma-,108,22,-174633.490570,3.711509e-09,5,5,4.5,f,-2.5,+1,2,2,2.5,e,-0.5,+1
sigma+,sigma-,109,23,-174633.475162,1.584113e-09,5,5,4.5,f,-1.5,+1,2,2,2.5,e,+0.5,+1
sigma+,sigma-,110,24,-174633.459729,5.258732e-10,5,5,4.5,f,-0.5,+1,2,2,2.5,e,+1.5,+1
sigma+,sigma-,111,25,-174633.444270,1.047445e-10,5,5,4.5,f,+0.5,+1,2,2,2.5,e,+2.5,+1
sigma+,sigma-,96,26,-174538.289389,7.825736e-10,5,5,4.5,e,-4.5,-1,2,2,2.5,f,-2.5,-1
sigma+,sigma-,97,27,-174538.277294,4.328665e-10,5,5,4.5,e,-3.5,-1,2,2,2.5,f,-1.5,-1
sigma+,sigma-,98,28,-174538.265176,2.154907e-10,5,5,4.5,e,-2.5,-1,2,2,2.5,f,-0.5,-1
sigma+,sigma-,99,29,-174538.253032,9.195169e-11,5,5,4.5,e,-1.5,-1,2,2,2.5,f,+0.5,-1
sigma+,sigma-,100,30,-174538.240865,3.051755e-11,5,5,4.5,e,-0.5,-1,2,2,2.5,f,+1.5,-1
sigma+,sigma-,101,31,-174538.228675,6.077069e-12,5,5,4.5,e,+0.5,-1,2,2,2.5,f,+2.5,-1
sigma+,sigma-,68,4,-130973.058004,2.379079e-08,4,4,3.5,f,-3.5,-1,1,1,1.5,e,-1.5,-1
sigma+,sigma-,69,5,-130973.010841,1.011014e-08,4,4,3.5,f,-2.5,-1,1,1,1.5,e,-0.5,-1
sigma+,sigma-,70,6,-130972.963484,3.341771e-09,4,4,3.5,f,-1.5,-1,1,1,1.5,e,+0.5,-1
sigma+,sigma-,71,7,-130972.915939,6.627698e-10,4,4,3.5,f,-0.5,-1,1,1,1.5,e,+1.5,-1
sigma+,sigma-,106,53,-130963.263461,1.132527e-02,5,5,4.5,f,-4.5,+1,3,3,3.5,f,-2.5,+1
sigma+,sigma-,107,54,-130963.260399,1.506516e-02,5,5,4.5,f,-3.5,+1,3,3,3.5,f,-1.5,+1
sigma+,sigma-,108,55,-130963.257327,1.409078e-02,5,5,4.5,f,-2.5,+1,3,3,3.5,f,-0.5,+1
sigma+,sigma-,109,56,-130963.254247,1.071098e-02,5,5,4.5,f,-1.5,+1,3,3,3.5,f,+0.5,+1
sigma+,sigma-,110,57,-130963.251157,6.678921e-03,5,5,4.5,f,-0.5,+1,3,3,3.5,f,+1.5,+1
sigma+,sigma-,111,58,-130963.248057,3.198512e-03,5,5,4.5,f,+0.5,+1,3,3,3.5,f,+2.5,+1
sigma+,sigma-,112,59,-130963.244949,9.307622e-04,5,5,4.5,f,+1.5,+1,3,3,3.5,f,+3.5,+1
