eps1,eps2,i,j,freq_MHz,strength,a_J,a_F1,a_F,a_ef,a_mF,a_parity,b_J,b_F1,b_F,b_ef,b_mF,b_parity
sigma+,sigma-,106,20,-174633.511354,1.940223e-09,5,5,4.5,f,-4.5,+1,2,2,2.5,e,-2.5,+1
sigma+,sigma-,107,21,-174633.506222,1.076409e-09,5,5,4.5,f,-3.5,+1,2,2,2.5,e,-1.5,+1
sigma+,sigma-,108,22,-174633.501088,5.374601e-10,5,5,4.5,f,-2.5,+1,2,2,2.5,e,-0.5,+1
sigma+,sigma-,109,23,-174633.495951,2.300216e-10,5,5,4.5,f,-1.5,+1,2,2,2.5,e,+0.5,+1
sigma+,sigma-,110,24,-174633.490811,7.656795e-11,5,5,4.5,f,-0.5,+1,2,2,2.5,e,+1.5,+1
sigma+,sigma-,111,25,-174633.485669,1.529245e-11,5,5,4.5,f,+0.5,+1,2,2,2.5,e,+2.5,+1
sigma+,sigma-,96,26,-174538.287383,1.940222e-09,5,5,4.5,e,-4.5,-1,2,2,2.5,f,-2.5,-1
sigma+,sigma-,97,27,-174538.283339,1.076409e-09,5,5,4.5,e,-3.5,-1,2,2,2.5,f,-1.5,-1
sigma+,sigma-,98,28,-174538.279293,5.374599e-10,5,5,4.5,e,-2.5,-1,2,2,2.5,f,-0.5,-1
sigma+,sigma-,99,29,-174538.275244,2.300215e-10,5,5,4.5,e,-1.5,-1,2,2,2.5,f,+0.5,-1
sigma+,sigma-,100,30,-174538.271193,7.656791e-11,5,5,4.5,e,-0.5,-1,2,2,2.5,f,+1.5,-1
sigma+,sigma-,101,31,-174538.267139,1.529244e-11,5,5,4.5,e,+0.5,-1,2,2,2.5,f,+2.5,-1
sigma+,sigma-,68,4,-130973.031675,4.794855e-09,4,4,3.5,f,-3.5,-1,1,1,1.5,e,-1.5,-1
sigma+,sigma-,69,5,-130973.015910,2.049146e-09,4,4,3.5,f,-2.5,-1,1,1,1.5,e,-0.5,-1
sigma+,sigma-,70,6,-130973.000123,6.811259e-10,4,4,3.5,f,-1.5,-1,1,1,1.5,e,+0.5,-1
sigma+,sigma-,71,7,-130972.984315,1.358423e-10,4,4,3.5,f,-0.5,-1,1,1,1.5,e,+1.5,-1
sigma+,sigma-,106,53,-130963.274032,5.678594e-03,5,5,4.5,f,-4.5,+1,3,3,3.5,f,-2.5,+1
sigma+,sigma-,107,54,-130963.273006,7.565604e-03,5,5,4.5,f,-3.5,+1,3,3,3.5,f,-1.5,+1
sigma+,sigma-,108,55,-130963.271979,7.087276e-03,5,5,4.5,f,-2.5,+1,3,3,3.5,f,-0.5,+1
sigma+,sigma-,109,56,-130963.270951,5.395664e-03,5,5,4.5,f,-1.5,+1,3,3,3.5,f,+0.5,+1
sigma+,sigma-,110,57,-130963.269922,3.369692e-03,5,5,4.5,f,-0.5,+1,3,3,3.5,f,+1.5,+1
sigma+,sigma-,111,58,-130963.268892,1.616207e-03,5,5,4.5,f,+0.5,+1,3,3,3.5,f,+2.5,+1
sigma+,sigma-,112,59,-130963.267862,4.710314e-04,5,5,4.5,f,+1.5,+1,3,3,3.5,f,+3.5,+1
sigma+,sigma-,128,52,-130959.704877,2.727194e-01,5,5,5.5,f,-5.5,+1,3,3,3.5,f,-3.5,+1
sigma+,sigma-,129,53,-130959.702527,1.735855e-01,5,5,5.5,f,-4.5,+1,3,3,3.5,f,-2.5,+1
sigma+,sigma-,130,54,-130959.700176,1.041734e-01,5,5,5.5,f,-3.5,+1,3,3,3.5,f,-1.5,+1
sigma+,sigma-,131,55,-130959.697824,5.788632e-02,5,5,5.5,f,-2.5,+1,3,3,3.5,f,-0.5,+1
sigma+,sigma-,132,56,-130959.695472,2.894928e-02,5,5,5.5,f,-1.5,+1,3,3,3.5,f,+0.5,+1
sigma+,sigma-,133,57,-130959.693119,1.240945e-02,5,5,5.5,f,-0.5,+1,3,3,3.5,f,+1.5,+1
sigma+,sigma-,134,58,-130959.690766,4.137355e-03,5,5,5.5,f,+0.5,+1,3,3,3.5,f,+2.5,+1
sigma+,sigma-,135,59,-130959.688412,8.276450e-04,5,5,5.5,f,+1.5,+1,3,3,3.5,f,+3.5,+1
sigma+,sigma-,106,38,-130957.485314,2.571039e-01,5,5,4.5,f,-4.5,+1,3,3,2.5,f,-2.5,+1
sigma+,sigma-,107,39,-130957.481297,1.428087e-01,5,5,4.5,f,-3.5,+1,3,3,2.5,f,-1.5,+1
sigma+,sigma-,108,40,-130957.477280,7.139097e-02,5,5,4.5,f,-2.5,+1,3,3,2.5,f,-0.5,+1
sigma+,sigma-,109,41,-130957.473264,3.059040e-02,5,5,4.5,f,-1.5,+1,3,3,2.5,f,+0.5,+1
sigma+,sigma-,110,42,-130957.469249,1.019489e-02,5,5,4.5,f,-0.5,+1,3,3,2.5,f,+1.5,+1
sigma+,sigma-,111,43,-130957.465234,2.038598e-03,5,5,4.5,f,+0.5,+1,3,3,2.5,f,+2.5,+1
sigma+,sigma-,129,38,-130953.913809,1.128835e-09,5,5,5.5,f,-4.5,+1,3,3,2.5,f,-2.5,+1
sigma+,sigma-,130,39,-130953.908466,1.128705e-09,5,5,5.5,f,-3.5,+1,3,3,2.5,f,-1.5,+1
sigma+,sigma-,131,40,-130953.903125,7.523824e-10,5,5,5.5,f,-2.5,+1,3,3,2.5,f,-0.5,+1
sigma+,sigma-,132,41,-130953.897785,3.761469e-10,5,5,5.5,f,-1.5,+1,3,3,2.5,f,+0.5,+1
sigma+,sigma-,133,42,-130953.892445,1.343222e-10,5,5,5.5,f,-0.5,+1,3,3,2.5,f,+1.5,+1
sigma+,sigma-,134,43,-130953.887107,2.686121e-11,5,5,5.5,f,+0.5,+1,3,3,2.5,f,+2.5,+1
sigma+,sigma-,96,45,-130915.662441,5.678330e-03,5,5,4.5,e,-4.5,-1,3,3,3.5,e,-2.5,-1
sigma+,sigma-,97,46,-130915.661550,7.565049e-03,5,5,4.5,e,-3.5,-1,3,3,3.5,e,-1.5,-1
sigma+,sigma-,98,47,-130915.660657,7.086565e-03,5,5,4.5,e,-2.5,-1,3,3,3.5,e,-0.5,-1
sigma+,sigma-,99,48,-130915.659764,5.394978e-03,5,5,4.5,e,-1.5,-1,3,3,3.5,e,+0.5,-1
sigma+,sigma-,100,49,-130915.658870,3.369173e-03,5,5,4.5,e,-0.5,-1,3,3,3.5,e,+1.5,-1
sigma+,sigma-,101,50,-130915.657974,1.615915e-03,5,5,4.5,e,+0.5,-1,3,3,3.5,e,+2.5,-1
sigma+,sigma-,102,51,-130915.657077,4.709338e-04,5,5,4.5,e,+1.5,-1,3,3,3.5,e,+3.5,-1
sigma+,sigma-,60,8,-130914.838866,4.794851e-09,4,4,3.5,e,-3.5,+1,1,1,1.5,f,-1.5,+1
sigma+,sigma-,61,9,-130914.824124,2.049144e-09,4,4,3.5,e,-2.5,+1,1,1,1.5,f,-0.5,+1
sigma+,sigma-,62,10,-130914.809360,6.811254e-10,4,4,3.5,e,-1.5,+1,1,1,1.5,f,+0.5,+1
sigma+,sigma-,63,11,-130914.794576,1.358421e-10,4,4,3.5,e,-0.5,+1,1,1,1.5,f,+1.5,+1
sigma+,sigma-,116,44,-130912.093726,2.727194e-01,5,5,5.5,e,-5.5,-1,3,3,3.5,e,-3.5,-1
sigma+,sigma-,117,45,-130912.091406,1.735884e-01,5,5,5.5,e,-4.5,-1,3,3,3.5,e,-2.5,-1
sigma+,sigma-,118,46,-130912.089085,1.041769e-01,5,5,5.5,e,-3.5,-1,3,3,3.5,e,-1.5,-1
sigma+,sigma-,119,47,-130912.086763,5.788924e-02,5,5,5.5,e,-2.5,-1,3,3,3.5,e,-0.5,-1
sigma+,sigma-,120,48,-130912.084440,2.895122e-02,5,5,5.5,e,-1.5,-1,3,3,3.5,e,+0.5,-1
sigma+,sigma-,121,49,-130912.082117,1.241049e-02,5,5,5.5,e,-0.5,-1,3,3,3.5,e,+1.5,-1
sigma+,sigma-,122,50,-130912.079794,4.137770e-03,5,5,5.5,e,+0.5,-1,3,3,3.5,e,+2.5,-1
sigma+,sigma-,123,51,-130912.077470,8.277418e-04,5,5,5.5,e,+1.5,-1,3,3,3.5,e,+3.5,-1
sigma+,sigma-,96,32,-130909.874133,2.571013e-01,5,5,4.5,e,-4.5,-1,3,3,2.5,e,-2.5,-1
sigma+,sigma-,97,33,-130909.870086,1.428058e-01,5,5,4.5,e,-3.5,-1,3,3,2.5,e,-1.5,-1
sigma+,sigma-,98,34,-130909.866040,7.138876e-02,5,5,4.5,e,-2.5,-1,3,3,2.5,e,-0.5,-1
sigma+,sigma-,99,35,-130909.861994,3.058914e-02,5,5,4.5,e,-1.5,-1,3,3,2.5,e,+0.5,-1
sigma+,sigma-,100,36,-130909.857949,1.019437e-02,5,5,4.5,e,-0.5,-1,3,3,2.5,e,+1.5,-1
sigma+,sigma-,101,37,-130909.853904,2.038473e-03,5,5,4.5,e,+0.5,-1,3,3,2.5,e,+2.5,-1
sigma+,sigma-,117,32,-130906.303098,1.817027e-09,5,5,5.5,e,-4.5,-1,3,3,2.5,e,-2.5,-1
sigma+,sigma-,118,33,-130906.297621,1.816298e-09,5,5,5.5,e,-3.5,-1,3,3,2.5,e,-1.5,-1
sigma+,sigma-,119,34,-130906.292145,1.210379e-09,5,5,5.5,e,-2.5,-1,3,3,2.5,e,-0.5,-1
