eps1,eps2,i,j,freq_MHz,strength,a_J,a_F1,a_F,a_ef,a_mF,a_parity,b_J,b_F1,b_F,b_ef,b_mF,b_parity
sigma+,sigma-,106,20,-174633.521310,1.944720e-09,5,5,4.5,f,-4.5,+1,2,2,2.5,e,-2.5,+1
sigma+,sigma-,107,21,-174633.505953,1.075901e-09,5,5,4.5,f,-3.5,+1,2,2,2.5,e,-1.5,+1
sigma+,sigma-,108,22,-174633.490570,5.357147e-10,5,5,4.5,f,-2.5,+1,2,2,2.5,e,-0.5,+1
sigma+,sigma-,109,23,-174633.475162,2.286399e-10,5,5,4.5,f,-1.5,+1,2,2,2.5,e,+0.5,+1
sigma+,sigma-,110,24,-174633.459729,7.589794e-11,5,5,4.5,f,-0.5,+1,2,2,2.5,e,+1.5,+1
sigma+,sigma-,111,25,-174633.444270,1.511691e-11,5,5,4.5,f,+0.5,+1,2,2,2.5,e,+2.5,+1
sigma+,sigma-,96,26,-174538.289389,1.944721e-09,5,5,4.5,e,-4.5,-1,2,2,2.5,f,-2.5,-1
sigma+,sigma-,97,27,-174538.277294,1.075904e-09,5,5,4.5,e,-3.5,-1,2,2,2.5,f,-1.5,-1
sigma+,sigma-,98,28,-174538.265176,5.357169e-10,5,5,4.5,e,-2.5,-1,2,2,2.5,f,-0.5,-1
sigma+,sigma-,99,29,-174538.253032,2.286410e-10,5,5,4.5,e,-1.5,-1,2,2,2.5,f,+0.5,-1
sigma+,sigma-,100,30,-174538.240865,7.589823e-11,5,5,4.5,e,-0.5,-1,2,2,2.5,f,+1.5,-1
sigma+,sigma-,101,31,-174538.228675,1.511694e-11,5,5,4.5,e,+0.5,-1,2,2,2.5,f,+2.5,-1
sigma+,sigma-,68,4,-130973.058004,4.808422e-09,4,4,3.5,f,-3.5,-1,1,1,1.5,e,-1.5,-1
sigma+,sigma-,69,5,-130973.010841,2.043290e-09,4,4,3.5,f,-2.5,-1,1,1,1.5,e,-0.5,-1
sigma+,sigma-,70,6,-130972.963484,6.753494e-10,4,4,3.5,f,-1.5,-1,1,1,1.5,e,+0.5,-1
sigma+,sigma-,71,7,-130972.915939,1.339348e-10,4,4,3.5,f,-0.5,-1,1,1,1.5,e,+1.5,-1
sigma+,sigma-,106,53,-130963.263461,5.701706e-03,5,5,4.5,f,-4.5,+1,3,3,3.5,f,-2.5,+1
sigma+,sigma-,107,54,-130963.260399,7.584555e-03,5,5,4.5,f,-3.5,+1,3,3,3.5,f,-1.5,+1
sigma+,sigma-,108,55,-130963.257327,7.094006e-03,5,5,4.5,f,-2.5,+1,3,3,3.5,f,-0.5,+1
sigma+,sigma-,109,56,-130963.254247,5.392446e-03,5,5,4.5,f,-1.5,+1,3,3,3.5,f,+0.5,+1
sigma+,sigma-,110,57,-130963.251157,3.362505e-03,5,5,4.5,f,-0.5,+1,3,3,3.5,f,+1.5,+1
sigma+,sigma-,111,58,-130963.248057,1.610292e-03,5,5,4.5,f,+0.5,+1,3,3,3.5,f,+2.5,+1
