eps1,eps2,i,j,freq_MHz,strength,a_J,a_F1,a_F,a_ef,a_mF,a_parity,b_J,b_F1,b_F,b_ef,b_mF,b_parity
sigma+,sigma-,106,20,-174633.556237,1.960725e-09,5,5,4.5,f,-4.5,+1,2,2,2.5,e,-2.5,+1
sigma+,sigma-,107,21,-174633.505480,1.074025e-09,5,5,4.5,f,-3.5,+1,2,2,2.5,e,-1.5,+1
sigma+,sigma-,108,22,-174633.454432,5.295415e-10,5,5,4.5,f,-2.5,+1,2,2,2.5,e,-0.5,+1
sigma+,sigma-,109,23,-174633.403099,2.238115e-10,5,5,4.5,f,-1.5,+1,2,2,2.5,e,+0.5,+1
sigma+,sigma-,110,24,-174633.351489,7.358045e-11,5,5,4.5,f,-0.5,+1,2,2,2.5,e,+1.5,+1
sigma+,sigma-,111,25,-174633.299607,1.451557e-11,5,5,4.5,f,+0.5,+1,2,2,2.5,e,+2.5,+1
sigma+,sigma-,107,12,-174625.272785,1.193588e-12,5,5,4.5,f,-3.5,+1,2,2,1.5,e,-1.5,+1
sigma+,sigma-,96,26,-174538.296504,1.960748e-09,5,5,4.5,e,-4.5,-1,2,2,2.5,f,-2.5,-1
sigma+,sigma-,97,27,-174538.256608,1.074067e-09,5,5,4.5,e,-3.5,-1,2,2,2.5,f,-1.5,-1
sigma+,sigma-,98,28,-174538.216436,5.295707e-10,5,5,4.5,e,-2.5,-1,2,2,2.5,f,-0.5,-1
sigma+,sigma-,99,29,-174538.175994,2.238248e-10,5,5,4.5,e,-1.5,-1,2,2,2.5,f,+0.5,-1
sigma+,sigma-,100,30,-174538.135286,7.358429e-11,5,5,4.5,e,-0.5,-1,2,2,2.5,f,+1.5,-1
sigma+,sigma-,101,31,-174538.094319,1.451606e-11,5,5,4.5,e,+0.5,-1,2,2,2.5,f,+2.5,-1
sigma+,sigma-,97,16,-174530.020534,1.173395e-12,5,5,4.5,e,-3.5,-1,2,2,1.5,f,-1.5,-1
sigma+,sigma-,68,4,-130973.150257,4.856673e-09,4,4,3.5,f,-3.5,-1,1,1,1.5,e,-1.5,-1
sigma+,sigma-,69,5,-130972.994601,2.022223e-09,4,4,3.5,f,-2.5,-1,1,1,1.5,e,-0.5,-1
sigma+,sigma-,70,6,-130972.836769,6.551694e-10,4,4,3.5,f,-1.5,-1,1,1,1.5,e,+0.5,-1
sigma+,sigma-,71,7,-130972.676866,1.274071e-10,4,4,3.5,f,-0.5,-1,1,1,1.5,e,+1.5,-1
sigma+,sigma-,106,53,-130963.226692,5.782728e-03,5,5,4.5,f,-4.5,+1,3,3,3.5,f,-2.5,+1
sigma+,sigma-,107,54,-130963.216661,7.649403e-03,5,5,4.5,f,-3.5,+1,3,3,3.5,f,-1.5,+1
sigma+,sigma-,108,55,-130963.206526,7.115329e-03,5,5,4.5,f,-2.5,+1,3,3,3.5,f,-0.5,+1
sigma+,sigma-,109,56,-130963.196288,5.379366e-03,5,5,4.5,f,-1.5,+1,3,3,3.5,f,+0.5,+1
sigma+,sigma-,110,57,-130963.185949,3.336454e-03,5,5,4.5,f,-0.5,+1,3,3,3.5,f,+1.5,+1
sigma+,sigma-,111,58,-130963.175509,1.589418e-03,5,5,4.5,f,+0.5,+1,3,3,3.5,f,+2.5,+1
sigma+,sigma-,112,59,-130963.164972,4.601227e-04,5,5,4.5,f,+1.5,+1,3,3,3.5,f,+3.5,+1
sigma+,sigma-,128,52,-130959.731944,2.727189e-01,5,5,5.5,f,-5.5,+1,3,3,3.5,f,-3.5,+1
sigma+,sigma-,129,53,-130959.708536,1.739247e-01,5,5,5.5,f,-4.5,+1,3,3,3.5,f,-2.5,+1
sigma+,sigma-,130,54,-130959.685074,1.045781e-01,5,5,5.5,f,-3.5,+1,3,3,3.5,f,-1.5,+1
sigma+,sigma-,131,55,-130959.661558,5.822159e-02,5,5,5.5,f,-2.5,+1,3,3,3.5,f,-0.5,+1
sigma+,sigma-,132,56,-130959.637991,2.917144e-02,5,5,5.5,f,-1.5,+1,3,3,3.5,f,+0.5,+1
sigma+,sigma-,133,57,-130959.614371,1.252775e-02,5,5,5.5,f,-0.5,+1,3,3,3.5,f,+1.5,+1
sigma+,sigma-,134,58,-130959.590701,4.184390e-03,5,5,5.5,f,+0.5,+1,3,3,3.5,f,+2.5,+1
sigma+,sigma-,135,59,-130959.566982,8.385545e-04,5,5,5.5,f,+1.5,+1,3,3,3.5,f,+3.5,+1
sigma+,sigma-,69,0,-130958.068037,3.566149e-12,4,4,3.5,f,-2.5,-1,1,1,0.5,e,-0.5,-1
sigma+,sigma-,70,1,-130957.659796,1.168398e-12,4,4,3.5,f,-1.5,-1,1,1,0.5,e,+0.5,-1
sigma+,sigma-,106,38,-130957.504742,2.566598e-01,5,5,4.5,f,-4.5,+1,3,3,2.5,f,-2.5,+1
sigma+,sigma-,107,39,-130957.464521,1.423197e-01,5,5,4.5,f,-3.5,+1,3,3,2.5,f,-1.5,+1
sigma+,sigma-,108,40,-130957.424354,7.102747e-02,5,5,4.5,f,-2.5,+1,3,3,2.5,f,-0.5,+1
sigma+,sigma-,109,41,-130957.384240,3.038447e-02,5,5,4.5,f,-1.5,+1,3,3,2.5,f,+0.5,+1
sigma+,sigma-,110,42,-130957.344178,1.010982e-02,5,5,4.5,f,-0.5,+1,3,3,2.5,f,+1.5,+1
sigma+,sigma-,111,43,-130957.304167,2.018351e-03,5,5,4.5,f,+0.5,+1,3,3,2.5,f,+2.5,+1
sigma+,sigma-,129,38,-130953.986586,1.208826e-07,5,5,5.5,f,-4.5,+1,3,3,2.5,f,-2.5,+1
sigma+,sigma-,130,39,-130953.932934,1.206835e-07,5,5,5.5,f,-3.5,+1,3,3,2.5,f,-1.5,+1
sigma+,sigma-,131,40,-130953.879387,8.031388e-08,5,5,5.5,f,-2.5,+1,3,3,2.5,f,-0.5,+1
sigma+,sigma-,132,41,-130953.825943,4.008180e-08,5,5,5.5,f,-1.5,+1,3,3,2.5,f,+0.5,+1
sigma+,sigma-,133,42,-130953.772600,1.428665e-08,5,5,5.5,f,-0.5,+1,3,3,2.5,f,+1.5,+1
sigma+,sigma-,134,43,-130953.719358,2.851401e-09,5,5,5.5,f,+0.5,+1,3,3,2.5,f,+2.5,+1
sigma+,sigma-,96,45,-130915.600821,5.779827e-03,5,5,4.5,e,-4.5,-1,3,3,3.5,e,-2.5,-1
sigma+,sigma-,97,46,-130915.592169,7.643389e-03,5,5,4.5,e,-3.5,-1,3,3,3.5,e,-1.5,-1
sigma+,sigma-,98,47,-130915.583400,7.107780e-03,5,5,4.5,e,-2.5,-1,3,3,3.5,e,-0.5,-1
sigma+,sigma-,99,48,-130915.574514,5.372233e-03,5,5,4.5,e,-1.5,-1,3,3,3.5,e,+0.5,-1
sigma+,sigma-,100,49,-130915.565515,3.331176e-03,5,5,4.5,e,-0.5,-1,3,3,3.5,e,+1.5,-1
sigma+,sigma-,101,50,-130915.556404,1.586511e-03,5,5,4.5,e,+0.5,-1,3,3,3.5,e,+2.5,-1
sigma+,sigma-,102,51,-130915.547181,4.591713e-04,5,5,4.5,e,+1.5,-1,3,3,3.5,e,+3.5,-1
sigma+,sigma-,60,8,-130914.932152,4.856727e-09,4,4,3.5,e,-3.5,+1,1,1,1.5,f,-1.5,+1
sigma+,sigma-,61,9,-130914.786678,2.022295e-09,4,4,3.5,e,-2.5,+1,1,1,1.5,f,-0.5,+1
sigma+,sigma-,62,10,-130914.639089,6.551960e-10,4,4,3.5,e,-1.5,+1,1,1,1.5,f,+0.5,+1
sigma+,sigma-,63,11,-130914.489483,1.274108e-10,4,4,3.5,e,-0.5,+1,1,1,1.5,f,+1.5,+1
sigma+,sigma-,116,44,-130912.110434,2.727189e-01,5,5,5.5,e,-5.5,-1,3,3,3.5,e,-3.5,-1
sigma+,sigma-,117,45,-130912.087331,1.739553e-01,5,5,5.5,e,-4.5,-1,3,3,3.5,e,-2.5,-1
sigma+,sigma-,118,46,-130912.064170,1.046144e-01,5,5,5.5,e,-3.5,-1,3,3,3.5,e,-1.5,-1
sigma+,sigma-,119,47,-130912.040950,5.825145e-02,5,5,5.5,e,-2.5,-1,3,3,3.5,e,-0.5,-1
sigma+,sigma-,120,48,-130912.017673,2.919112e-02,5,5,5.5,e,-1.5,-1,3,3,3.5,e,+0.5,-1
sigma+,sigma-,121,49,-130911.994340,1.253818e-02,5,5,5.5,e,-0.5,-1,3,3,3.5,e,+1.5,-1
sigma+,sigma-,122,50,-130911.970952,4.188515e-03,5,5,5.5,e,+0.5,-1,3,3,3.5,e,+2.5,-1
sigma+,sigma-,123,51,-130911.947510,8.395065e-04,5,5,5.5,e,+1.5,-1,3,3,3.5,e,+3.5,-1
sigma+,sigma-,96,32,-130909.882928,2.566321e-01,5,5,4.5,e,-4.5,-1,3,3,2.5,e,-2.5,-1
sigma+,sigma-,97,33,-130909.842407,1.422895e-01,5,5,4.5,e,-3.5,-1,3,3,2.5,e,-1.5,-1
sigma+,sigma-,98,34,-130909.801945,7.100516e-02,5,5,4.5,e,-2.5,-1,3,3,2.5,e,-0.5,-1
sigma+,sigma-,99,35,-130909.761540,3.037193e-02,5,5,4.5,e,-1.5,-1,3,3,2.5,e,+0.5,-1
sigma+,sigma-,100,36,-130909.721192,1.010468e-02,5,5,4.5,e,-0.5,-1,3,3,2.5,e,+1.5,-1
sigma+,sigma-,101,37,-130909.680899,2.017137e-03,5,5,4.5,e,+0.5,-1,3,3,2.5,e,+2.5,-1
sigma+,sigma-,117,32,-130906.369438,1.949940e-07,5,5,5.5,e,-4.5,-1,3,3,2.5,e,-2.5,-1
sigma+,sigma-,118,33,-130906.314408,1.941129e-07,5,5,5.5,e,-3.5,-1,3,3,2.5,e,-1.5,-1
sigma+,sigma-,119,34,-130906.259495,1.288160e-07,5,5,5.5,e,-2.5,-1,3,3,2.5,e,-0.5,-1
sigma+,sigma-,120,35,-130906.204699,6.410946e-08,5,5,5.5,e,-1.5,-1,3,3,2.5,e,+0.5,-1
sigma+,sigma-,121,36,-130906.150017,2.278888e-08,5,5,5.5,e,-0.5,-1,3,3,2.5,e,+1.5,-1
sigma+,sigma-,122,37,-130906.095448,4.536177e-09,5,5,5.5,e,+0.5,-1,3,3,2.5,e,+2.5,-1
sigma+,sigma-,61,2,-130899.858322,3.535096e-12,4,4,3.5,e,-2.5,+1,1,1,0.5,f,-0.5,+1
sigma+,sigma-,62,3,-130899.464157,1.158608e-12,4,4,3.5,e,-1.5,+1,1,1,0.5,f,+0.5,+1
sigma+,sigma-,68,27,-101863.493351,1.086357e-02,4,4,3.5,f,-3.5,-1,2,2,2.5,f,-1.5,-1
