J,F,parity,energy_MHz,J_weight
1,0.9999999999999998,-1,13647.552475038086,0.9999998592905726
1,1.0,1,13652.84247205851,0.9999998590858343
1,0.0,-1,13660.946412,0.9999999999999998
1,0.0,1,13666.236412,0.9999999999999998
1,2.0,-1,14967.345391048726,0.9992501710063995
1,1.9999999999999996,1,14972.619512788237,0.9992490475888526
1,1.0000000000000002,-1,14980.480710044994,0.9992410335842035
1,1.0000000000000002,1,14985.754638287584,0.9992398962918334
2,1.9999999999999973,1,43208.574632735705,0.9992490383867647
2,1.0,1,43216.83342165391,0.9992397553776675
2,1.9999999999999982,-1,43224.42875256237,0.9992501615706978
2,1.0,-1,43232.68734691693,0.9992408928747761
2,2.999999999999999,1,43916.476042915114,0.9996177771667525
2,1.999999999999997,1,43924.34795736221,0.9996147979127397
2,3.000000000000001,-1,43932.32782517398,0.9996169317822963
2,1.9999999999999964,-1,43940.199599091255,0.9996139461151614
3,2.9999999999999996,-1,86991.32159567821,0.9996169305032767
3,1.9999999999999978,-1,86997.12891729765,0.9996139366092791
3,2.9999999999999982,1,87023.04337655356,0.9996177756991466
3,1.9999999999999978,1,87028.85055711388,0.9996147886404961
3,3.999999999999999,-1,87483.88460857239,0.9997757721945899
3,3.0,-1,87489.48935281622,0.9997744827485154
3,4.000000000000001,1,87515.6056021128,0.9997751143678809
3,2.9999999999999964,1,87521.21023833026,0.9997738213118209
