J,F,parity,energy_MHz,J_weight
1,3.9999999999999956,-1,12515.347535976518,0.9959328593514538
1,3.9999999999999982,1,12520.551578628194,0.9959273452041257
1,2.9999999999999996,-1,12527.618306670738,0.9959584651846716
1,2.999999999999999,1,12532.822889425928,0.9959529842864518
1,2.9999999999999987,-1,15177.277719440597,0.9956625756293664
1,2.0000000000000036,-1,15181.82062686643,0.9957015564782543
1,2.999999999999998,1,15182.476012743617,0.9956563413912505
1,2.000000000000002,1,15187.019743084331,0.9956953775616847
1,1.0000000000000009,-1,17135.474703749456,0.997686794441619
1,1.0000000000000007,1,17140.715759737122,0.9976832983562531
1,2.000000000000002,-1,17142.58812229155,0.9976525125046719
1,2.0000000000000018,1,17147.828453519538,0.9976489638277566
2,5.000000000000003,1,42277.990554407945,0.9979829828888165
2,3.9999999999999964,1,42285.86396916772,0.9979935119723935
2,5.0000000000000036,-1,42293.76450171074,0.9979787014589335
2,3.9999999999999982,-1,42301.638417862574,0.9979892525537986
2,4.0,1,43528.62958688522,0.9935192382996718
2,3.0000000000000004,1,43533.99965691675,0.9935608741833122
2,4.0,-1,43544.298732640054,0.9935195635040392
2,3.0000000000000013,-1,43549.67010756145,0.9935612003807996
2,2.999999999999998,1,44441.52351418824,0.9937874972193328
2,2.0,1,44444.50742394462,0.9938435123714044
2,2.999999999999999,-1,44457.212602821885,0.9937896566521893
2,1.9999999999999996,-1,44460.19814767773,0.9938456534285527
2,1.9999999999999996,1,45052.591894218975,0.9966472115112799
2,1.0,1,45053.08940337849,0.9966959917679645
2,2.0,-1,45068.36443793117,0.9966485583060573
2,0.9999999999999998,-1,45068.86335957355,0.9966973173623656
2,0.0,1,45395.7640708215,0.9997321349567572
2,0.9999999999999993,1,45399.82510028821,0.9997221255687283
2,0.0,-1,45411.621303697706,0.9997315436183921
2,0.9999999999999993,-1,45415.6818582474,0.9997215124361974
3,6.0000000000000036,-1,86256.95663326987,0.9988739440425249
3,4.999999999999999,-1,86262.66570901318,0.9988788968229529
3,6.000000000000004,1,86288.60123018688,0.9988707115111346
3,5.000000000000003,1,86294.31072583812,0.9988756784352222
3,4.999999999999998,-1,87026.09521973699,0.9965396309389081
3,4.000000000000001,-1,87030.74190248063,0.9965578463190844
3,5.000000000000006,1,87057.61713899953,0.9965397581229949
3,4.000000000000011,1,87062.26497337026,0.9965579735558925
3,3.999999999999994,-1,87624.11671028209,0.9963342343392955
3,2.9999999999999987,-1,87627.8712944496,0.9963587481372379
3,3.9999999999999973,1,87655.63600859526,0.9963358078993761
3,3.0000000000000004,1,87659.39207135722,0.9963603117654339
3,2.9999999999999982,-1,88068.48503801723,0.9973103416810226
3,1.9999999999999996,-1,88071.55020222111,0.9973348897242518
3,2.999999999999998,1,88100.06692033276,0.9973120528098495
3,1.9999999999999996,1,88103.13352987185,0.9973365855221882
3,1.9999999999999991,-1,88374.21955144993,0.9986497498791701
3,1.0000000000000002,-1,88376.93139514673,0.9986691934221223
3,1.9999999999999987,1,88405.8825028578,0.9986509449212344
3,1.0000000000000004,1,88408.59545983742,0.9986703714542701
3,0.9999999999999991,-1,88552.73306401762,0.9997214825059643
3,0.0,-1,88556.69723630243,0.9997315436183906
3,0.9999999999999982,1,88584.4598128045,0.9997220955310254
3,0.0,1,88588.42446917862,0.99973213495676
