E_Vcm,g_upper,g_lower,dg,E_upper_MHz,E_lower_MHz
118.7857143,-0.01483508847,-0.01496825284,0.0001331643691,14644.23747,14442.60759
120.3781513,-0.01483428511,-0.01496904441,0.0001347592981,14645.58241,14441.25136
121.9705882,-0.01483348045,-0.01496983714,0.0001363566922,14646.92728,14439.89504
123.5630252,-0.01483267452,-0.01497063098,0.0001379564561,14648.27209,14438.53863
125.1554622,-0.01483186737,-0.01497142587,0.0001395584996,14649.61683,14437.18214
126.7478992,-0.01483105905,-0.01497222179,0.0001411627369,14650.96151,14435.82556
128.3403361,-0.01483024959,-0.01497301868,0.0001427690865,14652.30612,14434.4689
129.9327731,-0.01482943904,-0.01497381651,0.0001443774707,14653.65066,14433.11215
131.5252101,-0.01482862743,-0.01497461524,0.0001459878159,14654.99514,14431.75532
133.1176471,-0.01482781479,-0.01497541484,0.0001476000517,14656.33956,14430.39841
134.710084,-0.01482700117,-0.01497621528,0.0001492141113,14657.6839,14429.04141
136.302521,-0.01482618658,-0.01497701651,0.0001508299307,14659.02818,14427.68433
137.894958,-0.01482537107,-0.01497781852,0.0001524474491,14660.37239,14426.32717
139.487395,-0.01482455466,-0.01497862127,0.0001540666085,14661.71654,14424.96992
141.0798319,-0.01482373738,-0.01497942473,0.0001556873532,14663.06061,14423.61259
142.6722689,-0.01482291925,-0.01498022888,0.0001573096304,14664.40462,14422.25518
144.2647059,-0.0148221003,-0.01498103369,0.0001589333893,14665.74856,14420.89769
145.8571429,-0.01482128056,-0.01498183914,0.0001605585815,14667.09243,14419.54011
147.4495798,-0.01482046005,-0.01498264521,0.0001621851606,14668.43623,14418.18246
149.0420168,-0.01481963879,-0.01498345187,0.0001638130823,14669.77996,14416.82472
150.6344538,-0.0148188168,-0.0149842591,0.000165442304,14671.12362,14415.4669
152.2268908,-0.0148179941,-0.01498506688,0.0001670727849,14672.46721,14414.10901
153.8193277,-0.01481717071,-0.01498587519,0.0001687044862,14673.81073,14412.75103
155.4117647,-0.01481634665,-0.01498668402,0.0001703373702,14675.15418,14411.39297
157.0042017,-0.01481552194,-0.01498749334,0.000171971401,14676.49756,14410.03483
158.5966387,-0.0148146966,-0.01498830314,0.0001736065442,14677.84088,14408.67661
160.1890756,-0.01481387063,-0.0149891134,0.0001752427667,14679.18412,14407.31831
161.7815126,-0.01481304407,-0.01498992411,0.0001768800366,14680.52728,14405.95993
163.3739496,-0.01481221692,-0.01499073524,0.0001785183234,14681.87038,14404.60148
164.9663866,-0.01481138919,-0.01499154679,0.0001801575976,14683.21341,14403.24294
166.5588235,-0.01481056091,-0.01499235874,0.000181797831,14684.55636,14401.88432
168.1512605,-0.01480973209,-0.01499317108,0.0001834389964,14685.89925,14400.52563
169.7436975,-0.01480890273,-0.0149939838,0.0001850810676,14687.24206,14399.16685
171.3361345,-0.01480807285,-0.01499479687,0.0001867240194,14688.5848,14397.808
172.9285714,-0.01480724247,-0.0149956103,0.0001883678275,14689.92747,14396.44907
174.5210084,-0.01480641159,-0.01499642406,0.0001900124685,14691.27007,14395.09006
176.1134454,-0.01480558023,-0.01499723815,0.0001916579199,14692.61259,14393.73097
177.7058824,-0.0148047484,-0.01499805256,0.0001933041598,14693.95505,14392.3718
179.2983193,-0.0148039161,-0.01499886727,0.0001949511675,14695.29743,14391.01256
180.8907563,-0.01480308336,-0.01499968228,0.0001965989225,14696.63974,14389.65324
182.4831933,-0.01480225017,-0.01500049757,0.0001982474054,14697.98197,14388.29383
184.0756303,-0.01480141654,-0.01500131314,0.0001998965974,14699.32414,14386.93436
185.6680672,-0.01480058249,-0.01500212897,0.0002015464802,14700.66623,14385.5748
187.2605042,-0.01479974803,-0.01500294507,0.0002031970363,14702.00824,14384.21517
188.8529412,-0.01479891316,-0.01500376141,0.0002048482486,14703.35019,14382.85545
190.4453782,-0.0147980779,-0.015004578,0.0002065001008,14704.69206,14381.49566
192.0378151,-0.01479724224,-0.01500539482,0.0002081525769,14706.03386,14380.1358
193.6302521,-0.0147964062,-0.01500621186,0.0002098056616,14707.37558,14378.77585
195.2226891,-0.01479556978,-0.01500702912,0.00021145934,14708.71724,14377.41583
196.8151261,-0.014794733,-0.0150078466,0.0002131135978,14710.05882,14376.05573
198.407563,-0.01479389585,-0.01500866427,0.0002147684211,14711.40032,14374.69556
200,-0.01479305835,-0.01500948215,0.0002164237963,14712.74176,14373.33531
